Date,X,Y,Z
1988-06-01,15.172,,
1988-07-01,14.924,,
1988-08-01,15.009,,
1988-09-01,13.541,,
1988-10-01,12.555,,
1988-11-01,13.036,,
1988-12-01,14.75,,
1989-01-01,16.252,,
1989-02-01,16.034,,
1989-03-01,17.723,,
1989-04-01,19.05,,
1989-05-01,17.654,,
1989-06-01,17.056,,
1989-07-01,17.283,,
1989-08-01,16.79,,
1989-09-01,17.65,,
1989-10-01,18.532,,
1989-11-01,18.63,,
1989-12-01,19.371,,
1990-01-01,20.126,,
1990-02-01,19.59,,
1990-03-01,18.642,,
1990-04-01,17.321,,
1990-05-01,17.127,,
1990-06-01,15.904,,
1990-07-01,17.737,,
1990-08-01,26.341,,
1990-09-01,32.988,,
1990-10-01,35.025,,
1990-11-01,31.874,,
1990-12-01,27.167,,
1991-01-01,23.266,,
1991-02-01,18.578,,
1991-03-01,18.753,,
1991-04-01,19.221,,
1991-05-01,19.447,,
1991-06-01,18.394,,
1991-07-01,19.461,,
1991-08-01,19.783,,
1991-09-01,20.43,,
1991-10-01,21.969,,
1991-11-01,21.095,,
1991-12-01,18.329,,
1992-01-01,17.967,,
1992-02-01,17.992,,
1992-03-01,17.703,,
1992-04-01,18.908,,
1992-05-01,19.868,,
1992-06-01,21.102,,
1992-07-01,20.371,,
1992-08-01,19.874,,
1992-09-01,20.374,,
1992-10-01,20.371,,
1992-11-01,19.199,,
1992-12-01,18.275,,
1993-01-01,17.618,,
1993-02-01,18.414,,
1993-03-01,18.817,,
1993-04-01,18.892,,
1993-05-01,18.698,,
1993-06-01,17.815,,
1993-07-01,16.808,,
1993-08-01,16.92,,
1993-09-01,16.339,,
1993-10-01,16.878,,
1993-11-01,15.496,,
1993-12-01,13.649,,
1994-01-01,14.012,,
1994-02-01,13.666,,
1994-03-01,13.542,,
1994-04-01,15.005,,
1994-05-01,16.172,,
1994-06-01,16.806,,
1994-07-01,17.741,,
1994-08-01,17.113,,
1994-09-01,16.248,,
1994-10-01,16.516,,
1994-11-01,17.201,,
1994-12-01,16.128,,
1995-01-01,16.565,,
1995-02-01,17.025,,
1995-03-01,16.902,,
1995-04-01,18.396,,
1995-05-01,18.389,,
1995-06-01,17.212,,
1995-07-01,15.977,,
1995-08-01,16.16,,
1995-09-01,16.515,,
1995-10-01,16.049,,
1995-11-01,16.737,,
